title,date,doi,parent_doi,proceedings_doi,type
IODP Expedition 397T Thin section images,2023-10-11,https://doi.org/10.5281/zenodo.10210985,https://doi.org/10.5281/zenodo.10210984,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Whole-round core section images,2023-10-11,https://doi.org/10.5281/zenodo.10211007,https://doi.org/10.5281/zenodo.10211006,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T Whole-round core section composite 360 degree images,2023-10-11,https://doi.org/10.5281/zenodo.10211019,https://doi.org/10.5281/zenodo.10211018,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 397T X-ray diffraction (XRD),2023-10-11,https://doi.org/10.5281/zenodo.10211031,https://doi.org/10.5281/zenodo.10211030,https://doi.org/10.14379/iodp.proc.391.2023,info:eu-repo/semantics/other
IODP Expedition 361 Alkalinity and pH,2020-01-27,https://doi.org/10.5281/zenodo.3628821,https://doi.org/10.5281/zenodo.3628820,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Core composite images,2020-01-27,https://doi.org/10.5281/zenodo.3628853,https://doi.org/10.5281/zenodo.3628852,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Carbonates composite report,2020-01-27,https://doi.org/10.5281/zenodo.3629545,https://doi.org/10.5281/zenodo.3629544,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Navigation,2020-01-27,https://doi.org/10.5281/zenodo.3629547,https://doi.org/10.5281/zenodo.3629546,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 X-ray diffraction (XRD),2020-01-27,https://doi.org/10.5281/zenodo.3633167,https://doi.org/10.5281/zenodo.3633166,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Titration,2020-01-27,https://doi.org/10.5281/zenodo.3633173,https://doi.org/10.5281/zenodo.3633172,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Thermal conductivity,2020-01-27,https://doi.org/10.5281/zenodo.3633175,https://doi.org/10.5281/zenodo.3633174,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Elemental analysis (CHNS),2020-01-27,https://doi.org/10.5281/zenodo.3633181,https://doi.org/10.5281/zenodo.3633180,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Closeup images,2020-01-27,https://doi.org/10.5281/zenodo.3633186,https://doi.org/10.5281/zenodo.3633185,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Core summary,2020-01-27,https://doi.org/10.5281/zenodo.3633190,https://doi.org/10.5281/zenodo.3633189,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Stratigraphic Correlation,2020-01-27,https://doi.org/10.5281/zenodo.3633192,https://doi.org/10.5281/zenodo.3633191,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Micropaleontology,2020-01-27,https://doi.org/10.5281/zenodo.3633194,https://doi.org/10.5281/zenodo.3633193,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Visual core description,2020-01-27,https://doi.org/10.5281/zenodo.3633196,https://doi.org/10.5281/zenodo.3633195,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Inorganic carbon (coulometer),2020-01-27,https://doi.org/10.5281/zenodo.3633198,https://doi.org/10.5281/zenodo.3633197,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Core drilling summary,2020-01-27,https://doi.org/10.5281/zenodo.3633286,https://doi.org/10.5281/zenodo.3633285,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Gas safety report,2020-01-27,https://doi.org/10.5281/zenodo.3633288,https://doi.org/10.5281/zenodo.3633287,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Bulk density (GRA),2020-01-27,https://doi.org/10.5281/zenodo.3633302,https://doi.org/10.5281/zenodo.3633301,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Hole drilling summary,2020-01-27,https://doi.org/10.5281/zenodo.3633304,https://doi.org/10.5281/zenodo.3633303,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Hole summary,2020-01-27,https://doi.org/10.5281/zenodo.3633306,https://doi.org/10.5281/zenodo.3633305,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 ICP-AES elemental analysis (interstitial water),2020-01-27,https://doi.org/10.5281/zenodo.3633308,https://doi.org/10.5281/zenodo.3633307,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Ion chromatography,2020-01-27,https://doi.org/10.5281/zenodo.3633312,https://doi.org/10.5281/zenodo.3633311,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Interstitial water composite report,2020-01-27,https://doi.org/10.5281/zenodo.3633315,https://doi.org/10.5281/zenodo.3633314,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Bulk and grain density (MAD),2020-01-27,https://doi.org/10.5281/zenodo.3633317,https://doi.org/10.5281/zenodo.3633316,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Photomicrographs,2020-01-27,https://doi.org/10.5281/zenodo.3633319,https://doi.org/10.5281/zenodo.3633318,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Section-half images,2020-01-27,https://doi.org/10.5281/zenodo.3633321,https://doi.org/10.5281/zenodo.3633320,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
